iter	Passed	Remaining
0	21	10665
1	30	7665
2	40	6773
3	50	6265
4	60	5941
5	69	5760
6	81	5721
7	92	5718
8	103	5666
9	114	5616
10	125	5579
11	136	5540
12	148	5573
13	154	5356
14	161	5212
15	169	5132
16	179	5106
17	189	5072
18	198	5035
19	210	5049
20	219	5002
21	230	5001
22	237	4921
23	248	4927
24	257	4884
25	265	4844
26	273	4788
27	277	4671
28	284	4625
29	292	4580
30	299	4538
31	304	4459
32	314	4446
33	323	4429
34	330	4388
35	341	4395
36	349	4376
37	357	4352
38	367	4342
39	376	4332
40	386	4323
41	394	4304
42	401	4262
43	408	4233
44	415	4199
45	423	4181
46	431	4161
47	439	4137
48	448	4128
49	456	4106
50	462	4075
51	470	4049
