iter	Passed	Remaining
0	6	1910
1	10	1628
2	15	1581
3	20	1505
4	24	1458
5	28	1385
6	31	1310
7	34	1265
8	37	1217
9	40	1180
10	44	1156
11	47	1139
12	51	1127
13	54	1110
14	57	1099
15	61	1089
16	64	1078
17	68	1067
18	71	1060
19	75	1051
20	78	1045
21	81	1036
22	85	1029
23	88	1017
24	91	1010
25	95	1003
26	98	998
27	102	992
28	105	986
29	108	980
30	112	977
31	116	973
32	119	969
33	123	963
34	126	958
35	129	952
36	133	946
37	136	942
38	140	938
39	143	931
40	146	928
41	150	922
42	153	917
43	156	911
44	159	905
45	163	901
46	166	896
47	170	893
48	173	888
49	177	885
50	180	880
51	183	877
52	187	872
53	190	868
54	194	865
55	197	861
56	201	857
57	204	852
58	207	847
59	210	843
60	214	839
61	217	835
62	221	831
63	224	826
64	228	824
65	231	821
66	234	815
67	238	812
68	241	808
69	244	804
70	248	800
71	251	796
72	254	790
73	257	787
74	261	783
75	264	779
76	267	774
77	270	770
78	273	766
79	277	761
80	280	757
81	283	753
82	286	749
83	289	745
84	293	741
85	296	737
86	299	733
87	302	729
88	306	725
89	309	722
90	313	719
91	316	715
92	319	711
93	323	708
94	327	706
95	330	703
96	334	699
97	337	695
98	340	691
99	344	688
100	347	684
101	350	681
102	354	677
103	357	673
104	360	670
105	363	666
106	367	662
107	370	659
108	374	655
109	377	651
110	380	647
111	383	643
112	386	640
113	390	637
114	393	633
115	397	630
116	400	626
117	403	622
118	407	619
119	410	616
120	413	612
121	417	609
122	420	605
123	423	601
124	427	598
125	430	594
126	433	590
127	437	587
128	440	583
129	443	579
130	446	575
131	449	571
132	451	567
133	454	563
134	458	559
135	461	556
136	464	552
137	467	548
138	470	544
139	472	540
140	475	536
141	478	532
142	481	528
143	484	524
144	487	521
145	490	517
146	493	513
147	496	509
148	499	505
149	502	502
150	505	498
151	508	495
152	511	491
153	514	488
154	517	484
155	520	480
156	523	477
157	527	473
158	529	469
159	532	466
160	535	462
161	538	459
162	542	456
163	545	452
164	548	448
165	552	445
166	555	442
167	558	439
168	562	435
169	565	432
170	568	428
171	571	425
172	573	421
173	576	417
174	580	414
175	583	410
176	586	407
177	589	404
178	592	400
179	595	397
180	598	393
181	601	390
182	605	387
183	608	383
184	611	380
185	614	376
186	617	373
187	621	369
188	623	366
189	626	362
190	630	359
191	633	356
192	636	352
193	639	349
194	642	345
195	645	342
196	648	339
197	651	335
198	654	332
199	658	329
200	661	325
201	665	322
202	668	319
203	672	316
204	677	313
205	680	310
206	684	307
207	687	303
208	690	300
209	694	297
210	697	294
211	700	290
212	703	287
213	709	285
214	720	284
215	730	284
216	740	283
217	746	280
218	750	277
219	756	275
220	761	272
221	764	268
222	767	265
223	770	261
224	774	258
225	777	254
226	780	250
227	783	247
228	786	243
229	790	240
230	793	236
231	796	233
232	800	230
233	803	226
234	806	223
235	809	219
236	812	216
237	816	212
238	819	209
239	822	205
240	826	202
241	829	198
242	832	195
243	835	191
244	838	188
245	842	184
246	845	181
247	848	177
248	852	174
249	855	171
250	859	167
251	862	164
252	865	160
253	868	157
254	871	153
255	875	150
256	878	146
257	881	143
258	884	140
259	888	136
260	891	133
261	894	129
262	897	126
263	901	122
264	904	119
265	908	116
266	911	112
267	915	109
268	918	105
269	921	102
270	925	99
271	928	95
272	932	92
273	935	88
274	938	85
275	942	81
276	945	78
277	948	75
278	951	71
279	954	68
280	958	64
281	961	61
282	964	57
283	967	54
284	970	51
285	974	47
286	977	44
287	981	40
288	984	37
289	987	34
290	990	30
291	993	27
292	997	23
293	1000	20
294	1003	17
295	1006	13
296	1009	10
297	1012	6
298	1015	3
299	1019	0
